,KOD,NAME
2,010121,ШТ-ЛОШАДИ ЖИВЫЕ: ЧИСТОПОРОДНЫЕ ПЛЕМЕННЫЕ ЖИВОТНЫЕ
5,010129,ШТ-ЛОШАДИ ПРОЧИЕ
10,010130,"ШТ-ОСЛЫ, ЖИВЫЕ"
13,010190,ШТ-ПРОЧИЕ МУЛЫ И ЛОШАКИ ЖИВЫЕ
17,010221,ШТ-ЧИСТОПОРОДНЫЙ ПЛЕМЕННОЙ ДОМАШНИЙ КРУПНЫЙ РОГАТЫЙ СКОТ
24,010229,ШТ-ДОМАШНИЙ КРУПНЫЙ РОГАТЫЙ СКОТ ПРОЧИЙ
49,010231,"ШТ-КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ, БУЙВОЛЫ, ЧИСТОПОРОДНЫЕ ПЛЕМЕННЫЕ ЖИВОТНЫЕ"
52,010239,ШТ-БУЙВОЛЫ ПРОЧИЕ
57,010290,ШТ-ПРОЧИЙ КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ
65,010310,ШТ-СВИНЬИ ЖИВЫЕ ЧИСТОПОРОДНЫЕ (ЧИСТОКРОВНЫЕ) ПЛЕМЕННЫЕ ЖИВОТНЫЕ
68,010391,"ШТ-ПРОЧИЕ СВИНЬИ ЖИВЫЕ, МАССОЙ МЕНЕЕ 50 КГ"
73,010392,"ШТ-ПРОЧИЕ СВИНЬИ ЖИВЫЕ, МАССОЙ 50 КГ ИЛИ БОЛЕЕ"
81,010410,ШТ-ОВЦЫ ЖИВЫЕ
88,010420,ШТ-КОЗЫ ЖИВЫЕ
94,010511,ШТ-КУРЫ ДОМАШНИЕ (CALLUS DOMESTICUS) ЖИВЫЕ МАССОЙ НЕ БОЛЕЕ 185 Г
103,010512,ШТ-ИНДЕЙКИ ЖИВЫЕ МАССОЙ НЕ БОЛЕЕ 185 Г
106,010513,ШТ-УТКИ ЖИВЫЕ МАССОЙ НЕ БОЛЕЕ 185 Г
109,010514,ШТ-ГУСИ ЖИВЫЕ МАССОЙ НЕ БОЛЕЕ 185 Г
112,010515,ШТ-ЦЕСАРКИ ЖИВЫЕ МАССОЙ НЕ БОЛЕЕ 185 Г
115,010594,"ШТ-ДОМАШНЯЯ ПТИЦА ЖИВАЯ, КУРЫ ДОМАШНИЕ (GALLUS DOMESTICUS) МАССОЙ БОЛЕЕ 185 Г."
118,010599,"ШТ-УТКИ, ГУСИ, ИНДЕЙКИ, ЦЕСАРКИ ЖИВЫЕ ВЕСОМ БОЛЕЕ 185 Г"
128,010611,ШТ-ПРОЧИЕ ЖИВЫЕ ЖИВОТНЫЕ: МЛЕКОПИТАЮЩИЕ ПРИМАТЫ
132,010612,"ШТ-ПРОЧИЕ ЖИВЫЕ ЖИВОТНЫЕ МЛЕКОПИТАЮЩИЕ: КИТЫ, ДЕЛЬФИНЫ И МОРСКИЕ СВИНЬИ (ОТРЯДА CETACEA);ЛАМАНТИНЫ И ДЮГОНИ (ОТРЯДА SIRENIA);ТЮЛЕНИ,МОРСКИЕ ЛЬВЫ И МОРЖИ (ПОДОТРЯДА PINNIPEDIA)"
136,010613,ШТ-ПРОЧИЕ ЖИВЫЕ ЖИВОТНЫЕ: ВЕРБЛЮДЫ И ПРОЧИЕ ЖИВОТНЫЕ СЕМЕЙСТВА ВЕРБЛЮДОВЫХ (CAMELIDAE)
140,010614,ШТ-КРОЛИКИ И ЗАЙЦЫ
147,010619,ШТ-ПРОЧИЕ ЖИВЫЕ ЖИВОТНЫЕ: ПРОЧИЕ МЛЕКОПИТАЮЩИЕ
