Region,Stoim
45000 - ГОРОД МОСКВА СТОЛИЦА РОССИЙСКОЙ ФЕДЕРАЦИИ ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,32343342.77
46000 - МОСКОВСКАЯ ОБЛАСТЬ,18771576.490000002
40000 - ГОРОД САНКТ-ПЕТЕРБУРГ ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,5145904.38
70000 - ТУЛЬСКАЯ ОБЛАСТЬ,3132614.9
22000 - НИЖЕГОРОДСКАЯ ОБЛАСТЬ,2378335.47
50000 - НОВОСИБИРСКАЯ ОБЛАСТЬ,1726229.35
25000 - ИРКУТСКАЯ ОБЛАСТЬ,1216478.07
27000 - КАЛИНИНГРАДСКАЯ ОБЛАСТЬ,1148317.6300000001
87000 - РЕСПУБЛИКА КОМИ,1118787.58
03000 - КРАСНОДАРСКИЙ КРАЙ,1026236.5800000001
41000 - ЛЕНИНГРАДСКАЯ ОБЛАСТЬ,648533.05
92000 - РЕСПУБЛИКА ТАТАРСТАН (ТАТАРСТАН),542400.3
80000 - РЕСПУБЛИКА БАШКОРТОСТАН,368127.5
65000 - СВЕРДЛОВСКАЯ ОБЛАСТЬ,362661.19
29000 - КАЛУЖСКАЯ ОБЛАСТЬ,353983.31
78000 - ЯРОСЛАВСКАЯ ОБЛАСТЬ,319226.73
63000 - САРАТОВСКАЯ ОБЛАСТЬ,252991.62
18000 - ВОЛГОГРАДСКАЯ ОБЛАСТЬ,242492.86
75000 - ЧЕЛЯБИНСКАЯ ОБЛАСТЬ,206347.94
60000 - РОСТОВСКАЯ ОБЛАСТЬ,204340.88
15000 - БРЯНСКАЯ ОБЛАСТЬ,198732.0
58000 - ПСКОВСКАЯ ОБЛАСТЬ,183110.58
20000 - ВОРОНЕЖСКАЯ ОБЛАСТЬ,169677.87
57000 - ПЕРМСКИЙ КРАЙ,160062.68
14000 - БЕЛГОРОДСКАЯ ОБЛАСТЬ,154092.05
12000 - АСТРАХАНСКАЯ ОБЛАСТЬ,152158.95
42000 - ЛИПЕЦКАЯ ОБЛАСТЬ,139046.52000000002
53000 - ОРЕНБУРГСКАЯ ОБЛАСТЬ,131756.11000000002
08000 - ХАБАРОВСКИЙ КРАЙ,123379.3
36000 - САМАРСКАЯ ОБЛАСТЬ,122596.9
79000 - РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ),103664.75
73000 - УЛЬЯНОВСКАЯ ОБЛАСТЬ,96515.71
56000 - ПЕНЗЕНСКАЯ ОБЛАСТЬ,50062.44
07000 - СТАВРОПОЛЬСКИЙ КРАЙ,39209.04
61000 - РЯЗАНСКАЯ ОБЛАСТЬ,31242.03
64000 - САХАЛИНСКАЯ ОБЛАСТЬ,27040.84
24000 - ИВАНОВСКАЯ ОБЛАСТЬ,18332.95
04000 - КРАСНОЯРСКИЙ КРАЙ,14549.55
52000 - ОМСКАЯ ОБЛАСТЬ,7364.33
01000 - АЛТАЙСКИЙ КРАЙ,5561.43
17000 - ВЛАДИМИРСКАЯ ОБЛАСТЬ,5416.87
05000 - ПРИМОРСКИЙ КРАЙ,4087.9700000000003
19000 - ВОЛОГОДСКАЯ ОБЛАСТЬ,2625.99
11000 - АРХАНГЕЛЬСКАЯ ОБЛАСТЬ,2106.7
69000 - ТОМСКАЯ ОБЛАСТЬ,1074.39
38000 - КУРСКАЯ ОБЛАСТЬ,891.5899999999999
71000 - ТЮМЕНСКАЯ ОБЛАСТЬ,487.14
49000 - НОВГОРОДСКАЯ ОБЛАСТЬ,257.98
66000 - СМОЛЕНСКАЯ ОБЛАСТЬ,111.34
