Region,Stoim
45000 - ГОРОД МОСКВА СТОЛИЦА РОССИЙСКОЙ ФЕДЕРАЦИИ ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,29037199.989099998
40000 - ГОРОД САНКТ-ПЕТЕРБУРГ ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,4901644.29
92000 - РЕСПУБЛИКА ТАТАРСТАН (ТАТАРСТАН),3468825.19
50000 - НОВОСИБИРСКАЯ ОБЛАСТЬ,2977345.0057
46000 - МОСКОВСКАЯ ОБЛАСТЬ,2380559.6256
60000 - РОСТОВСКАЯ ОБЛАСТЬ,1822701.95
66000 - СМОЛЕНСКАЯ ОБЛАСТЬ,619750.25
47000 - МУРМАНСКАЯ ОБЛАСТЬ,443129.30000000005
80000 - РЕСПУБЛИКА БАШКОРТОСТАН,397964.63
19000 - ВОЛОГОДСКАЯ ОБЛАСТЬ,262906.6
65000 - СВЕРДЛОВСКАЯ ОБЛАСТЬ,255961.81
03000 - КРАСНОДАРСКИЙ КРАЙ,182494.99
32000 - КЕМЕРОВСКАЯ ОБЛАСТЬ,156161.32
73000 - УЛЬЯНОВСКАЯ ОБЛАСТЬ,142960.77000000002
90000 - РЕСПУБЛИКА СЕВЕРНАЯ ОСЕТИЯ-АЛАНИЯ,110810.71
01000 - АЛТАЙСКИЙ КРАЙ,95182.09
22000 - НИЖЕГОРОДСКАЯ ОБЛАСТЬ,92582.89
20000 - ВОРОНЕЖСКАЯ ОБЛАСТЬ,91553.69
36000 - САМАРСКАЯ ОБЛАСТЬ,54660.1138
52000 - ОМСКАЯ ОБЛАСТЬ,43896.4
57000 - ПЕРМСКИЙ КРАЙ,33335.45
15000 - БРЯНСКАЯ ОБЛАСТЬ,33028.76
69000 - ТОМСКАЯ ОБЛАСТЬ,26976.42
68000 - ТАМБОВСКАЯ ОБЛАСТЬ,21593.18
25000 - ИРКУТСКАЯ ОБЛАСТЬ,20880.440000000002
07000 - СТАВРОПОЛЬСКИЙ КРАЙ,8722.16
75000 - ЧЕЛЯБИНСКАЯ ОБЛАСТЬ,8713.86
53000 - ОРЕНБУРГСКАЯ ОБЛАСТЬ,5527.55
70000 - ТУЛЬСКАЯ ОБЛАСТЬ,4953.9400000000005
14000 - БЕЛГОРОДСКАЯ ОБЛАСТЬ,4946.62
17000 - ВЛАДИМИРСКАЯ ОБЛАСТЬ,3323.19
82000 - РЕСПУБЛИКА ДАГЕСТАН,3015.9300000000003
29000 - КАЛУЖСКАЯ ОБЛАСТЬ,2893.44
12000 - АСТРАХАНСКАЯ ОБЛАСТЬ,2434.31
35000 - РЕСПУБЛИКА КРЫМ,2376.13
71000 - ТЮМЕНСКАЯ ОБЛАСТЬ,2133.83
54000 - ОРЛОВСКАЯ ОБЛАСТЬ,1200.39
94000 - УДМУРТСКАЯ РЕСПУБЛИКА,1185.07
41000 - ЛЕНИНГРАДСКАЯ ОБЛАСТЬ,1012.82
83000 - КАБАРДИНО-БАЛКАРСКАЯ РЕСПУБЛИКА,868.59
58000 - ПСКОВСКАЯ ОБЛАСТЬ,739.6700000000001
63000 - САРАТОВСКАЯ ОБЛАСТЬ,585.22
81000 - РЕСПУБЛИКА БУРЯТИЯ,346.82
86000 - РЕСПУБЛИКА КАРЕЛИЯ,340.17
10000 - АМУРСКАЯ ОБЛАСТЬ,326.0
28000 - ТВЕРСКАЯ ОБЛАСТЬ,275.01
56000 - ПЕНЗЕНСКАЯ ОБЛАСТЬ,96.61
27000 - КАЛИНИНГРАДСКАЯ ОБЛАСТЬ,84.53
04000 - КРАСНОЯРСКИЙ КРАЙ,75.73
34000 - КОСТРОМСКАЯ ОБЛАСТЬ,55.78
33000 - КИРОВСКАЯ ОБЛАСТЬ,7.11
78000 - ЯРОСЛАВСКАЯ ОБЛАСТЬ,7.1
37000 - КУРГАНСКАЯ ОБЛАСТЬ,1.35
