Region,Stoim
45000 - ГОРОД МОСКВА СТОЛИЦА РОССИЙСКОЙ ФЕДЕРАЦИИ ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,163780260.113
46000 - МОСКОВСКАЯ ОБЛАСТЬ,9366290.63
40000 - ГОРОД САНКТ-ПЕТЕРБУРГ ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,8234685.27
92000 - РЕСПУБЛИКА ТАТАРСТАН (ТАТАРСТАН),1755059.65
50000 - НОВОСИБИРСКАЯ ОБЛАСТЬ,1540056.78
15000 - БРЯНСКАЯ ОБЛАСТЬ,1448786.84
66000 - СМОЛЕНСКАЯ ОБЛАСТЬ,897208.6833
80000 - РЕСПУБЛИКА БАШКОРТОСТАН,886387.76
29000 - КАЛУЖСКАЯ ОБЛАСТЬ,885294.3
22000 - НИЖЕГОРОДСКАЯ ОБЛАСТЬ,862691.0499999999
71000 - ТЮМЕНСКАЯ ОБЛАСТЬ,579637.51
57000 - ПЕРМСКИЙ КРАЙ,529431.9
65000 - СВЕРДЛОВСКАЯ ОБЛАСТЬ,518969.48
25000 - ИРКУТСКАЯ ОБЛАСТЬ,429856.43
42000 - ЛИПЕЦКАЯ ОБЛАСТЬ,380675.99
07000 - СТАВРОПОЛЬСКИЙ КРАЙ,311325.58
05000 - ПРИМОРСКИЙ КРАЙ,263548.92
36000 - САМАРСКАЯ ОБЛАСТЬ,214927.49
01000 - АЛТАЙСКИЙ КРАЙ,213327.27000000002
20000 - ВОРОНЕЖСКАЯ ОБЛАСТЬ,191977.89
08000 - ХАБАРОВСКИЙ КРАЙ,170490.11
81000 - РЕСПУБЛИКА БУРЯТИЯ,167775.45
14000 - БЕЛГОРОДСКАЯ ОБЛАСТЬ,161696.86000000002
17000 - ВЛАДИМИРСКАЯ ОБЛАСТЬ,152732.83
27000 - КАЛИНИНГРАДСКАЯ ОБЛАСТЬ,148750.37
98000 - РЕСПУБЛИКА САХА (ЯКУТИЯ),140299.04
88000 - РЕСПУБЛИКА МАРИЙ ЭЛ,138033.74
78000 - ЯРОСЛАВСКАЯ ОБЛАСТЬ,123012.15
47000 - МУРМАНСКАЯ ОБЛАСТЬ,117933.33
03000 - КРАСНОДАРСКИЙ КРАЙ,102368.68
64000 - САХАЛИНСКАЯ ОБЛАСТЬ,60580.509999999995
52000 - ОМСКАЯ ОБЛАСТЬ,53148.89
33000 - КИРОВСКАЯ ОБЛАСТЬ,47845.32000000001
86000 - РЕСПУБЛИКА КАРЕЛИЯ,35550.3
61000 - РЯЗАНСКАЯ ОБЛАСТЬ,30616.66
41000 - ЛЕНИНГРАДСКАЯ ОБЛАСТЬ,21121.54
70000 - ТУЛЬСКАЯ ОБЛАСТЬ,20579.12
76000 - ЗАБАЙКАЛЬСКИЙ КРАЙ,19750.510000000002
60000 - РОСТОВСКАЯ ОБЛАСТЬ,18442.14
75000 - ЧЕЛЯБИНСКАЯ ОБЛАСТЬ,16366.849999999999
28000 - ТВЕРСКАЯ ОБЛАСТЬ,10813.0
54000 - ОРЛОВСКАЯ ОБЛАСТЬ,10683.95
68000 - ТАМБОВСКАЯ ОБЛАСТЬ,10333.81
89000 - РЕСПУБЛИКА МОРДОВИЯ,10042.64
19000 - ВОЛОГОДСКАЯ ОБЛАСТЬ,8964.78
32000 - КЕМЕРОВСКАЯ ОБЛАСТЬ,6793.55
30000 - КАМЧАТСКИЙ КРАЙ,5554.04
04000 - КРАСНОЯРСКИЙ КРАЙ,5225.36
58000 - ПСКОВСКАЯ ОБЛАСТЬ,3717.68
94000 - УДМУРТСКАЯ РЕСПУБЛИКА,2452.14
73000 - УЛЬЯНОВСКАЯ ОБЛАСТЬ,1143.11
95000 - РЕСПУБЛИКА ХАКАСИЯ,717.73
11000 - АРХАНГЕЛЬСКАЯ ОБЛАСТЬ,634.8399999999999
83000 - КАБАРДИНО-БАЛКАРСКАЯ РЕСПУБЛИКА,525.0
53000 - ОРЕНБУРГСКАЯ ОБЛАСТЬ,424.35
38000 - КУРСКАЯ ОБЛАСТЬ,423.84
18000 - ВОЛГОГРАДСКАЯ ОБЛАСТЬ,286.94
77000 - ЧУКОТСКИЙ АВТОНОМНЫЙ ОКРУГ,247.79
34000 - КОСТРОМСКАЯ ОБЛАСТЬ,178.34
69000 - ТОМСКАЯ ОБЛАСТЬ,100.0
97000 - ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ,27.580000000000002
